human_id;realCity_id
Q125598;Q69233
Q9458;Q5806
Q237235;Q3812281
Q25973;Q487921
Q298334;Q3130
Q712653;Q95096
Q28147;Q3038
Q129772;Q13502175
Q34981;Q1010621
Q210669;Q10690
Q531194;Q179259
Q311145;Q8678
Q538051;Q199478
Q39212;Q488125
Q13914;Q15695
Q314929;Q25
Q77779;Q93285
Q4936308;Q7102931
Q334711;Q222755
Q212801;Q207752
Q43393;Q1828038
Q43393;Q2368947
Q296256;Q492478
Q30875;Q1761
Q3372117;Q849561
Q720806;Q4093
Q33977;Q12191
Q156268;Q174061
Q193111;Q1757
Q129916;Q84
Q105994;Q19834493
Q69643;Q4037
Q33941;Q16869
Q316607;Q2666737
Q449085;Q1615791
Q37731;Q5806
Q61248;Q64
Q61078;Q64
Q794087;Q456
Q714739;Q1874
Q38392;Q1779875
Q326773;Q18419
Q184440;Q460750
Q9204;Q10686
Q42398;Q4242055
Q333123;Q16567
Q950949;Q731069
Q1357338;Q100
Q321071;Q1023499
Q649971;Q866339
Q334609;Q142410
Q41502;Q2750458
Q138871;Q1085
Q313007;Q1851095
Q20877665;Q30
Q355438;Q2006494
Q209641;Q203349
Q709670;Q90
Q192762;Q60
Q908571;Q60
Q41166;Q1761
Q233956;Q23436
Q298229;Q80096
Q7176;Q85
Q732338;Q1156
Q6882;Q1761
Q504;Q90
Q43718;Q1666449
Q120370;Q68144
Q42156;Q90
Q935;Q3316008
Q935;Q936641
Q270635;Q16558
Q213681;Q904731
Q334839;Q484672
Q452404;Q2023662
Q712596;Q1166
Q2372314;Q2044
Q106740;Q34217
Q241248;Q406
Q18456;Q1085
Q204868;Q157447
Q944204;Q1102275
Q298827;Q90
Q37327;Q1761
Q1383477;Q42448
Q365955;Q1764
Q45970;Q391479
Q180081;Q754314
Q36184;Q2328356
Q82032;Q39121
Q9372;Q769598
Q5086341;Q1010244
Q19673;Q61
Q336151;Q49143
Q218690;Q42810
Q313981;Q41262
Q242643;Q60
Q205772;Q100
Q12706;Q891
Q133054;Q100
Q106465;Q61455
Q919140;Q49218
Q49072;Q60
Q726264;Q190828
Q318429;Q1017943
Q76699;Q2112
Q23481;Q66211
Q37030;Q2843
Q188987;Q659823
Q295516;Q462177
Q102513;Q755403
Q240576;Q2119652
Q535;Q37776
Q1274943;Q90
Q393422;Q5625011
Q168542;Q1628741
Q966679;Q34227
Q61699;Q25475
Q762;Q154184
Q455780;Q65
Q181659;Q484678
Q498976;Q208257
Q46926;Q1353
Q1607288;Q39121
Q48354;Q11194
Q7934;Q199797
Q17714;Q34217
Q105167;Q5092
Q119546;Q18419
Q40319;Q84
Q236727;Q862733
Q448425;Q23556
Q263017;Q109010
Q314949;Q128087
Q48301;Q82724
Q334457;Q40738
Q236660;Q21169
Q312579;Q211950
Q240253;Q60
Q6527;Q71
Q153232;Q90
Q182882;Q1145487
Q1223298;Q18419
Q510921;Q2141
Q3270328;Q19789
Q333575;Q83065
Q1662745;Q1490
Q469656;Q495
Q924927;Q862079
Q9312;Q4120832
Q163747;Q210205
Q134798;Q34600
Q437718;Q84
Q38337;Q213883
Q44107;Q696964
Q28494;Q4024
Q319084;Q11299
Q178403;Q1018540
Q150379;Q23346
Q150379;Q179259
Q192124;Q331078
Q193871;Q2096
Q173540;Q23556
Q9554;Q484870
Q15977306;Q54132
Q708647;Q206837
Q366266;Q22595
Q310002;Q768934
Q4128;Q90
Q312295;Q481674
Q468890;Q11059315
Q12665;Q84
Q519984;Q1297
Q45309;Q503757
Q123078;Q955151
Q217388;Q172455
Q1189291;Q30
Q62892;Q1731
Q446517;Q100
Q201732;Q736742
Q297532;Q2887
Q435126;Q172157
Q927;Q9920
Q6691;Q1379299
Q977651;Q408
Q977651;Q3141
Q163118;Q9005
Q236829;Q84
Q216134;Q5092
Q259653;Q47716
Q79904;Q60
Q45765;Q62
Q465356;Q1533
Q264517;Q72778
Q235354;Q84
Q76357;Q1718
Q36951;Q25409
Q312532;Q202628
Q452282;Q340
Q7345;Q990504
Q77141;Q64
Q75889;Q525720
Q469362;Q720566
Q1348862;Q84
Q335397;Q597464
Q132524;Q656
Q151820;Q189715
Q188176;Q38022
Q212727;Q975
Q469960;Q1563
Q3090225;Q1854
Q183167;Q288781
Q26116;Q1985830
Q39829;Q49201
Q76534;Q2795
Q1132175;Q122723
Q458614;Q1906
Q1067;Q2044
Q192417;Q44112
Q92775;Q34217
Q190379;Q646980
Q319820;Q944044
Q93450;Q1085
Q292175;Q79408
Q271226;Q499887
Q717520;Q7195881
Q313254;Q2878215
Q311704;Q754010
