book_id;city_id
Q7764687;Q172
Q15052526;Q84
Q2264850;Q84
Q4996813;Q8646
Q18162049;Q84
Q5608829;Q84
Q3793123;Q84
Q5477757;Q8646
Q4003598;Q84
Q6946122;Q84
Q543790;Q8646
Q543790;Q1490
Q543790;Q64
Q543790;Q1741
Q17021815;Q84
Q543790;Q2634
Q22697488;Q3561
Q22697488;Q45942
Q22697488;Q3579
Q22697488;Q16869
Q275292;Q84
Q368357;Q84
Q4880897;Q42462
Q4540288;Q7419957
Q6907535;Q84
Q5048303;Q350
Q7770706;Q84
Q17985487;Q84
Q16851233;Q84
Q2521688;Q220
Q17118786;Q23154
Q455305;Q2028
Q455305;Q6537
Q4655860;Q84
Q455305;Q617
Q455305;Q13362
Q6303457;Q10686
Q455305;Q1891
Q455305;Q2044
Q455305;Q3437
Q16839792;Q84
Q455305;Q220
Q455305;Q2634
Q455305;Q2656
Q1610831;Q84
Q331106;Q24826
Q1241741;Q350
Q5418467;Q727
Q582509;Q84
Q18419437;Q2807
Q18419437;Q18417553
Q4698281;Q350
Q27990957;Q270
Q19896235;Q84
Q1723053;Q84
Q6942419;Q8646
Q463698;Q223966
Q463698;Q3347407
Q463698;Q193289
Q191949;Q84
Q8029796;Q84
Q5287908;Q84
Q894151;Q84
Q5378081;Q350
Q5795905;Q2807
Q7203384;Q3130
Q386431;Q2079
Q5098501;Q84
Q386431;Q1726
Q386431;Q27016933
Q386431;Q27016942
Q7757886;Q84
Q7270728;Q84
Q1248108;Q8646
Q1750300;Q84
Q3234223;Q84
Q4896672;Q39121
Q7738173;Q84
Q7661878;Q84
Q21664056;Q204957
Q7726840;Q84
Q10684061;Q19753420
Q6938896;Q84
Q5320161;Q1757
Q2474921;Q649
Q26710837;Q3141
Q208460;Q84
Q18416088;Q2807
Q7420985;Q84
Q2659853;Q350
Q7429901;Q84
Q7714972;Q84
Q477831;Q84
Q4540321;Q7419957
Q27899367;Q1754
Q7796881;Q220
Q748075;Q84
Q8058414;Q84
Q7772514;Q84
Q7767674;Q84
Q6671238;Q84
Q10406445;Q19753420
Q80771;Q84
Q10683890;Q19753420
Q7766317;Q84
Q2357729;Q39121
Q6863586;Q84
Q21705511;Q2048321
Q16387133;Q24826
Q3857990;Q84
Q734675;Q84
Q763199;Q2868
Q31179;Q84
Q4540294;Q7419957
Q4669763;Q84
Q10455260;Q84
Q2796032;Q84
Q5170080;Q84
Q15052535;Q84
Q6498710;Q84
Q4655693;Q84
Q4920293;Q84
Q7577006;Q84
Q22905594;Q16869
Q17019316;Q84
Q22905594;Q3640
Q8024779;Q220
Q21674354;Q270
Q2734297;Q8646
Q15972078;Q2048321
Q15972078;Q25410
Q3821704;Q84
Q7761666;Q84
Q4160095;Q84
Q10428755;Q10727531
Q821671;Q84
Q1966961;Q649
Q2700566;Q84
Q10683883;Q19753420
Q7302220;Q84
Q7733035;Q34664
Q10428763;Q10727531
Q16154159;Q84
Q1979886;Q350
Q1139328;Q1156
Q1139328;Q1800
Q19870861;Q84
Q22671022;Q3130
Q972609;Q84
Q1304649;Q41970
Q10428812;Q10727531
Q1514807;Q84
Q7768371;Q84
Q902712;Q350
Q20916827;Q1757
Q5519209;Q84
Q11266905;Q84
Q7737761;Q84
Q2279483;Q220
Q4271764;Q649
Q10493928;Q19753420
Q7754510;Q84
Q2295976;Q84
Q6762022;Q84
Q4105840;Q84
Q15052548;Q84
Q17103648;Q84
Q7747745;Q727
Q4540325;Q7419957
Q4540286;Q7419957
Q7658550;Q84
Q7200332;Q350
Q4733389;Q84
Q7775982;Q84
Q5403239;Q84
Q6421918;Q84
Q6912579;Q84
Q22679831;Q319476
Q24263510;Q85
Q7323142;Q84
Q7739423;Q84
Q4657628;Q84
Q7992944;Q220
Q12340261;Q25331
Q2062047;Q84
Q3795974;Q84
Q2479243;Q84
Q12397589;Q174
Q7691769;Q24826
Q13422918;Q7419957
Q12031711;Q84
Q5468212;Q84
Q6090994;Q84
Q4896674;Q84
Q4896674;Q39121
Q3235087;Q84
Q43361;Q6671104
Q15052531;Q84
Q10683887;Q19753420
Q3716970;Q84
Q3940771;Q220
Q5141601;Q220
Q5051078;Q84
Q380831;Q84
Q7225171;Q84
Q4540318;Q7419957
Q47495730;Q43509
Q5671462;Q2807
Q4752297;Q84
Q3819197;Q220
Q4659655;Q84
Q1750849;Q84
Q22815168;Q8678
Q22815168;Q33986
Q22815168;Q8646
Q22815168;Q334
Q22815168;Q1348
Q22815168;Q1352
Q22815168;Q79980
Q22815168;Q1353
Q22815168;Q1156
Q22815168;Q1530
Q22815168;Q83317
Q3212518;Q81621
Q22815168;Q16869
Q38187;Q84
Q3699651;Q8717
Q7305519;Q24826
Q7756730;Q84
Q8051717;Q84
Q10683876;Q19753420
Q1706316;Q406
Q7761850;Q84
Q3792823;Q84
Q7730522;Q84
Q19692429;Q19753420
Q18419758;Q2807
Q4540273;Q7419957
Q4784;Q84
Q157360;Q20085723
Q7809270;Q84
Q4540278;Q7419957
Q6412478;Q84
Q5752164;Q84
Q1758655;Q84
Q690362;Q727
Q2377147;Q84
Q15052527;Q84
Q7677872;Q84
Q7769263;Q84
Q5652993;Q2807
Q5878881;Q7038
Q1239133;Q8646
Q7271018;Q84
Q12081234;Q84
Q7753436;Q84
Q5195595;Q84
Q5654210;Q84
Q466852;Q84
Q1966939;Q649
Q5964942;Q2807
Q6412325;Q84
Q21710790;Q3223801
Q12164362;Q8851
Q15052532;Q84
Q10428818;Q10727531
Q7733600;Q84
Q4540309;Q7419957
Q10428757;Q10727531
Q7362000;Q220
Q1214221;Q84
Q5980612;Q2807
Q7170453;Q84
Q6815201;Q84
Q10683885;Q19753420
Q4660779;Q84
Q4709639;Q84
Q10683875;Q19753420
Q15052534;Q84
Q7782693;Q84
Q7736259;Q84
Q17062312;Q84
Q4876634;Q220
Q5247360;Q84
Q482424;Q84
Q3894636;Q220
Q7857583;Q84
Q7728342;Q84
Q208808;Q84
Q18160256;Q84
Q1217093;Q84
Q783288;Q84
Q7722317;Q84
Q7898114;Q84
Q864150;Q84
Q7720459;Q84
Q22939130;Q1156
Q7757255;Q84
Q7732179;Q84
Q7734404;Q84
Q18205140;Q84
Q1336247;Q84
Q15052538;Q84
Q21074119;Q62677
Q28060958;Q393
Q73112;Q45301
Q7829583;Q84
Q1052412;Q1563
Q4656667;Q84
Q6296280;Q5112
Q19902812;Q2807
Q7324654;Q84
Q5249096;Q84
Q28152037;Q334
Q217352;Q84
Q140527;Q84
Q140527;Q6454
Q140527;Q82185
Q7335613;Q84
Q7335613;Q350
Q7335613;Q10686
Q7542985;Q84
Q7843184;Q84
Q5352447;Q1486
Q7732913;Q84
Q7602538;Q39121
Q7623043;Q2135
Q7748043;Q84
Q7762822;Q84
Q17512899;Q84
Q752584;Q84
Q44750201;Q14314
Q3210568;Q84
Q5189556;Q134672
Q675609;Q2634
Q10669345;Q19753420
Q3881234;Q84
Q2668869;Q84
Q6407166;Q84
Q10428760;Q10727531
Q10428764;Q10727531
Q3602899;Q7419957
Q19898275;Q7419957
Q3274167;Q84
Q19213561;Q657461
Q19213561;Q220
Q19213561;Q237
Q7746015;Q84
Q10428822;Q10727531
Q5597530;Q84
Q7284874;Q84
Q7739536;Q8717
Q16992073;Q84
Q21083516;Q21178
Q6010082;Q2807
Q10683884;Q19753420
Q3828573;Q84
Q4685732;Q84
Q7718418;Q84
Q10428761;Q10727531
Q1750535;Q84
Q19902616;Q84
Q7495075;Q84
Q7541980;Q84
Q1636948;Q84
Q7733925;Q84
Q4540298;Q7419957
Q7808535;Q8646
Q4395914;Q84
Q4540293;Q7419957
Q5451249;Q84
Q15052544;Q84
Q7763360;Q84
Q7714299;Q84
Q3226889;Q84
Q22661569;Q5112
Q22661569;Q3130
Q5460016;Q84
Q21694212;Q1019481
Q1990880;Q1754
Q6937644;Q84
Q609915;Q15695
Q3258840;Q84
Q16968516;Q10686
Q7156777;Q84
Q4271834;Q84
Q7730406;Q220
Q47139476;Q64
Q7729217;Q1425428
Q1635110;Q23154
Q5504246;Q84
Q7820247;Q84
Q7302516;Q84
Q7824261;Q84
Q7460496;Q23154
Q7091530;Q84
Q4690778;Q84
Q7764251;Q8717
Q10483376;Q84
Q6698514;Q84
Q8036897;Q84
Q5397001;Q84
Q16609098;Q2807
Q6547048;Q350
Q6917380;Q84
Q19840217;Q84
Q7621042;Q84
Q3815979;Q2807
Q7726610;Q727
Q21996617;Q21176
Q15052547;Q84
Q6651985;Q84
Q7033599;Q84
Q4882266;Q10686
Q4660604;Q84
Q7749017;Q84
Q7728976;Q84
Q1192689;Q84
Q7577129;Q84
Q3823252;Q84
Q2562708;Q1306534
Q3190082;Q23154
Q24053214;Q132671
Q300467;Q84
Q7765188;Q84
Q2387225;Q84
Q116381;Q220
Q7757027;Q8646
Q959816;Q84
Q2633966;Q863058
Q7763485;Q64
Q18572386;Q1486
Q12328057;Q25410
Q7712626;Q84
Q7766746;Q84
Q7739239;Q84
Q4271771;Q649
Q50376238;Q3766
Q7711746;Q84
Q5156663;Q23436
Q7729716;Q84
Q3818676;Q84
Q17019147;Q84
Q3740571;Q1861
Q905112;Q84
Q21685892;Q84
Q3155952;Q16869
Q3155952;Q5776
Q3155952;Q1218
Q6730826;Q84
Q5824905;Q2807
Q466103;Q84
Q308918;Q84
Q13424762;Q649
Q275245;Q8646
Q5582822;Q84
Q5519201;Q84
Q5056403;Q84
Q10683886;Q19753420
Q3912978;Q2841
Q7755851;Q8646
Q3207382;Q84
Q10428759;Q10727531
Q22248660;Q220
Q22248660;Q1726
Q21605564;Q3223979
Q5050867;Q84
Q7750623;Q350
Q6675470;Q84
Q7731571;Q84
Q7732786;Q134672
Q5015188;Q220
Q5967444;Q84
Q7739106;Q84
Q7740602;Q84
Q6827778;Q2807
Q4656885;Q84
Q1539509;Q84
Q7772099;Q84
Q7495081;Q84
Q10428820;Q10727531
Q1355487;Q84
Q5459868;Q350
Q2437572;Q84
Q7763545;Q84
Q7038332;Q10686
Q10428762;Q10727531
Q4540315;Q7419957
Q10683892;Q19753420
Q7752049;Q8646
Q7763333;Q84
Q2372071;Q84
Q6412292;Q84
Q4658949;Q42462
Q7714576;Q84
Q574887;Q220
Q24084363;Q14318
Q24084363;Q9580
Q24084363;Q2807
Q24084363;Q8810
Q24084363;Q8717
Q7737588;Q24826
Q24084363;Q5818
Q24084363;Q15682
Q5432244;Q84
Q7719212;Q84
Q6670367;Q84
Q1145208;Q42462
Q2648737;Q84
Q866980;Q84
Q650949;Q84
Q3818569;Q220
Q690018;Q85
Q3999038;Q2807
Q17022627;Q84
Q2700616;Q84
Q7758326;Q84
Q10381460;Q84
Q7767098;Q84
Q7753080;Q84
Q6872469;Q8717
Q7719297;Q727
Q246014;Q84
Q3878871;Q84
Q2162432;Q84
Q4656082;Q84
Q30088087;Q1741
Q1138063;Q279012
Q10683878;Q19753420
Q5716743;Q2807
Q5716743;Q5818
Q4004277;Q1425428
Q10494155;Q84
Q7730012;Q84
Q5985487;Q84
Q7421952;Q220
Q6679480;Q84
Q7162382;Q84
Q4659428;Q84
Q617379;Q84
Q7757062;Q84
Q7719967;Q84
Q4655527;Q84
Q6946419;Q84
Q15052542;Q84
Q716712;Q84
Q7775561;Q220
Q7736722;Q84
Q17022838;Q84
Q15074328;Q84
Q7752910;Q8646
Q2894715;Q350
Q5519036;Q84
Q7394793;Q84
Q5139687;Q84
Q6581958;Q84
Q3794796;Q84
Q7760651;Q84
Q21874159;Q27168
Q7078770;Q220
Q2069298;Q727
Q808113;Q84
Q21874159;Q215177
Q21084220;Q3619316
Q21874159;Q26881
Q21084220;Q27119
Q3829985;Q1891
Q21874159;Q2301524
Q18160299;Q84
Q47478399;Q36036
Q6306151;Q84
Q7581704;Q220
Q24053169;Q132671
Q7726745;Q84
Q5596008;Q42448
Q4660862;Q10686
Q21088073;Q85
Q501351;Q10282
Q5583302;Q84
Q4843544;Q84
Q1098300;Q956
Q7751500;Q84
Q7200551;Q84
Q10671758;Q19753420
Q598071;Q84
Q19101874;Q3130
Q1677745;Q350
Q7960580;Q84
Q4109688;Q649
Q4351814;Q84
Q2842656;Q84
Q7334728;Q84
Q7819143;Q84
Q17108207;Q2141
Q6029480;Q84
Q15052561;Q84
Q6407724;Q84
Q10455262;Q84
Q2758232;Q84
Q4337552;Q84
Q10683888;Q19753420
Q7719220;Q727
Q15143995;Q23154
Q7681092;Q84
Q16578932;Q2807
Q7208529;Q47048
Q50376382;Q3766
Q33060664;Q1070
Q1307175;Q84
Q2631397;Q649
Q2631397;Q84
Q5648081;Q84
Q2974338;Q727
Q1775716;Q1874
Q3510735;Q84
Q7719013;Q84
Q29018923;Q133315
Q10660020;Q19753420
Q47598;Q84
Q7716299;Q84
Q47598;Q1771915
Q1331757;Q1306534
Q4518870;Q9248
Q6690244;Q23154
Q15052537;Q84
Q4532310;Q649
Q4540284;Q7419957
Q7722550;Q84
Q10428765;Q10727531
Q12383856;Q14314
Q17018027;Q84
Q5820756;Q486792
Q2490677;Q84
Q7730371;Q84
Q7445948;Q84
Q7094198;Q84
Q5226419;Q220
Q10428746;Q10727531
Q6024737;Q84
Q7768180;Q84
Q1992731;Q727
Q5401319;Q84
Q13141446;Q85
Q5533791;Q84
Q7096512;Q84
Q7766848;Q84
Q7768533;Q84
Q7570517;Q84
Q16993035;Q84
Q1755351;Q1486
Q18644284;Q8818
Q18644284;Q2807
Q6517204;Q84
Q3734614;Q10686
Q20253415;Q1757
