book_id;followed_book_id
Q21295024;Q21295027
Q5567042;Q7939762
Q1215908;Q7733189
Q305431;Q3795648
Q2291295;Q2915294
Q3180725;Q4462587
Q2453300;Q588035
Q21294909;Q21294911
Q7735488;Q7769477
Q7312811;Q7269577
Q2089703;Q2292215
Q3235695;Q3212909
Q2132853;Q2681330
Q1754235;Q1197590
Q1003401;Q1130111
Q3235771;Q3223782
Q3208673;Q2819868
Q5826477;Q5968002
Q3201517;Q3024051
Q7719430;Q7719431
Q2346673;Q2662175
Q3907714;Q3793043
Q1157183;Q2156104
Q10854416;Q7317280
Q2697201;Q13744827
Q6412298;Q7332631
Q264519;Q1539874
Q16209228;Q7733949
Q7730876;Q4787502
Q611399;Q1077029
Q2797244;Q13725982
Q20050039;Q25930444
Q10634722;Q10493928
Q2870358;Q928680
Q185449;Q308982
Q7301993;Q7279463
Q1077029;Q1041301
Q1169463;Q1219561
Q3204093;Q3202819
Q3790813;Q3772083
Q897685;Q929184
Q3427960;Q3428339
Q559330;Q18051878
Q7942421;Q5567042
Q1304875;Q978723
Q2228444;Q2503550
Q3039168;Q2892898
Q21293872;Q2745075
Q3716084;Q3795210
Q2440431;Q4474775
Q21295063;Q21295065
Q1848920;Q13646530
Q163297;Q1125903
Q3063803;Q516848
Q1304388;Q1122549
Q578895;Q721
Q3822693;Q3824164
Q13571573;Q2525961
Q53317298;Q53317974
Q3825092;Q4002537
Q525132;Q1198480
Q16386810;Q3907714
Q932592;Q1050014
Q3142271;Q3226029
Q478098;Q2637093
Q3089022;Q934580
Q5436486;Q5636343
Q28306;Q2712708
Q4355760;Q4355626
Q1898878;Q2304272
Q1130111;Q16671803
Q901384;Q1140036
Q2617711;Q2693218
Q1256948;Q1637730
Q2600597;Q3225628
Q169976;Q472208
Q1198480;Q767362
Q393018;Q1081119
Q3272008;Q2929776
Q1751752;Q212718
Q3773562;Q3972919
Q7728985;Q7737016
Q13646530;Q13474624
Q3202819;Q3222622
Q3213896;Q7730876
Q5306215;Q7750748
Q10684061;Q10683886
Q1165442;Q1170032
Q2386159;Q2350141
Q472208;Q129929
Q2474921;Q2593675
Q3793358;Q3822559
Q927292;Q2635106
Q12900709;Q3226180
Q319202;Q1169463
Q3548282;Q3225953
