language_id;book_id
Q1860;Q332581
Q7976;Q369902
Q1860;Q59036
Q7850;Q83755
Q1860;Q179441
Q256;Q31720
Q7850;Q197836
Q652;Q153028
Q188;Q220002
Q150;Q128918
Q397;Q287323
Q1860;Q308918
Q188;Q179647
Q7737;Q369944
Q37041;Q8251
Q188;Q153935
Q1860;Q32136
Q1860;Q220331
Q13955;Q129048
Q1860;Q385126
Q7737;Q83799
Q7976;Q59509
Q1860;Q266455
Q1860;Q180596
Q188;Q370698
Q5146;Q154675
Q1860;Q308982
Q5146;Q308982
Q35228;Q287578
Q35497;Q220972
Q1860;Q385336
Q7850;Q8265
Q1860;Q83880
Q5287;Q60151
Q150;Q180670
Q35497;Q267634
Q1860;Q333179
Q150;Q154753
Q188;Q199774
Q1860;Q287838
Q1412;Q33787
Q150;Q129289
Q1860;Q370841
Q1860;Q309019
Q150;Q180736
Q1321;Q267650
Q7976;Q248745
Q150;Q334370
Q5146;Q154761
Q1860;Q385502
Q150;Q199940
Q1860;Q221085
Q150;Q385511
Q150;Q221765
Q1860;Q200306
Q1860;Q385648
Q188;Q222784
Q1860;Q287968
Q7976;Q200920
Q7979;Q289130
Q188;Q223059
Q809;Q201253
Q1860;Q223131
Q1860;Q289259
Q1860;Q202009
Q182695;Q8269
Q7737;Q289387
Q1860;Q60161
Q9168;Q8279
Q7737;Q223688
Q1860;Q202531
Q652;Q386293
Q1860;Q223784
Q1860;Q289815
Q150;Q129450
Q7976;Q370861
Q13955;Q8369
Q1860;Q223880
Q150;Q386305
Q1860;Q60672
Q1860;Q291069
Q1860;Q8563
Q1860;Q224078
Q1860;Q371053
Q1860;Q291087
Q397;Q129493
Q1860;Q224733
Q188;Q386431
Q1860;Q371116
Q35497;Q291266
Q28602;Q205388
Q1860;Q10202
Q506395;Q61324
Q9027;Q129515
Q36236;Q291328
Q1860;Q371192
Q1860;Q386544
Q150;Q129541
Q35497;Q205612
Q1860;Q11191
Q1860;Q62879
Q150;Q371371
Q7979;Q129778
Q1860;Q228988
Q150;Q371694
Q7737;Q63707
Q1860;Q386868
Q397;Q205921
Q652;Q11336
Q150;Q229571
Q1860;Q371698
Q1860;Q129929
Q1860;Q11678
Q1860;Q63998
Q37041;Q230230
Q7026;Q371799
Q1860;Q296178
Q1860;Q64095
Q188;Q230302
Q1860;Q130295
Q1860;Q205975
Q1860;Q371975
Q1860;Q387480
Q188;Q230307
Q7976;Q300370
Q1860;Q130310
Q188;Q206333
Q1860;Q387637
Q35497;Q69539
Q1412;Q130924
Q33557;Q130924
Q150;Q13231
Q1860;Q372746
Q7850;Q70784
Q1860;Q231949
Q1860;Q300391
Q1860;Q13911
Q1860;Q206503
Q1860;Q387878
Q7850;Q70806
Q9288;Q131068
Q750553;Q300398
Q5146;Q300398
Q1860;Q13912
Q1860;Q206597
Q7737;Q372894
Q7850;Q70827
Q7411;Q232011
Q1860;Q300426
Q1860;Q206795
Q1860;Q387961
Q35497;Q73112
Q1860;Q18725
Q1860;Q132042
Q1860;Q300453
Q397;Q300453
Q150;Q232055
Q397;Q372941
Q7737;Q206870
Q1860;Q388060
