author_id;award
Q173540;Georgia Women of Achievement
Q18430;Gerald Loeb Award
Q49081;LennonOno Grant for Peace
Q34660;Fellow of the Royal Society of Edinburgh
Q76;Time Person of the Year
Q76;Time Person of the Year
Q76;Grammy Award for Best Spoken Word Album
Q210059;Bob Morane Prize
Q134798;Franz Kafka Prize
Q76;NAACP Image Award for Outstanding Literary Work, Nonfiction
Q210059;Yellow Kid Award
Q210059;Locus Award for Best Collection
Q210059;Locus Award for Best Collection
Q134798;Yomiuri Prize
Q34660;Hotze de Roos Prize
Q34660;Children's bookshop prize
Q76;NAACP Image Award – Chairman's Award
Q233956;Dame Commander of the Order of the British Empire
Q233956;James Tait Black Memorial Prize
Q34660;Prijs van de Jonge Jury
Q909;Commander's Cross of the Order of Merit of the Federal Republic of Germany
Q909;Knight Commander of the Order of the British Empire
Q134798;Tanizaki Prize
Q76;German Media Award
Q34660;Prijs van de Nederlandse Kinderjury
Q233956;doctor honoris causa of the university of Aberdeen
Q909;Prix mondial Cino Del Duca
Q909;Knight of the Legion of Honour
Q134798;Jerusalem Prize
Q76;Order of Abdulaziz al Saud
Q34660;doctor honoris causa of the university of Aberdeen
Q233956;Honorary doctor of the University of Oxford
Q134798;Noma Literary New Face Prize
Q909;Prix Formentor
Q76;Order of Sikatuna
Q34660;Order of the Companions of Honour
Q134798;World Fantasy Award for Best Novel
Q909;World Fantasy Award for Life Achievement
Q76;Nobel Prize
Q34660;Order of the Smile
Q909;Knight Grand Cross of the Order of Merit of the Italian Republic
Q134798;Frank O'Connor International Short Story Award
Q134798;Hans Christian Andersen Literature Award
Q193111;Pro Finlandia Medal of the Order of the Lion of Finland
Q909;Alfonso Reyes International Prize
Q909;Jerusalem Prize
Q1064;Order of Merit for Arts and Science
Q274848;Department of Commerce Gold Medal
Q193111;Aleksis Kivi Award
Q909;Miguel de Cervantes Prize
Q134798;Catalonia International Prize
Q193111;Jussi Award for Best Script
Q909;Balzan Prize
Q909;Commandeur des Arts et des Lettres‎
Q134798;Asahi Prize
Q909;Grand Cross of the Civil Order of Alfonso X the Wise
Q34474;Nobel Prize in Literature
Q134798;Time 100
Q909;Grand Knights with Star of the Order of the Falcon
Q34474;Medal "For the Victory over Germany in the Great Patriotic War 1941–1945"
Q909;World Fantasy Award
Q241248;Nobel Prize in Literature
Q34474;Order of the Patriotic War 2nd class
Q34474;Templeton Prize
Q241248;Officer of the Legion of Honour
Q34474;Order of the Red Star
Q909;Order of the Sun
Q909;Edgar Award
Q241248;Peace Prize of the German Book Trade
Q34474;Medal "For the Capture of Königsberg"
Q909;Order of Saint James of the Sword
Q241248;Prix du Meilleur Livre Étranger
Q34474;Lomonosov Gold Medal
Q241248;Independent Foreign Fiction Prize
Q34474;Order of the Star of Romania
Q909;Commander of the Order of the Sun of Peru‎
Q241248;International Antalya Golden Orange Film Festival Award for Best Original Screenplay
Q241248;Grinzane Cavour Prize
Q62892;Ingeborg Bachmann Prize
Q241248;International IMPAC Dublin Literary Award
Q62892;German Book Prize
Q241248;Prix Médicis for foreign literature
Q241248;Ovid Prize
Q241248;Norman Mailer Prize
Q241248;Commandeur des Arts et des Lettres‎
Q241248;Honorary doctor of the Free University of Berlin
Q241248;doctor honoris causa
