human_id;occupation
Q181677;novelist
Q181677;playwright
Q181677;blogger
Q181677;science fiction writer
Q329937;mathematician
Q528826;screenwriter
Q528826;sculptor
Q528826;novelist
Q528826;playwright
Q528826;translator
Q528826;writer
Q82104;journalist
Q82104;writer
Q82104;novelist
Q82104;screenwriter
Q81731;lady-in-waiting
Q81731;novelist
Q81731;poet
Q81731;writer
Q81731;diarist
Q62892;physician
Q62892;physician writer
Q62892;novelist
Q62892;screenwriter
Q1392021;writer
Q1392021;journalist
Q1392021;novelist
Q967307;historian
Q967307;biographer
Q153232;philosopher
Q153232;mathematician
Q153232;physicist
Q153232;musicologist
Q153232;translator
Q153232;writer
Q153232;music theorist
Q153232;Encyclopédistes
Q153232;engineer
Q81685;writer
Q81685;journalist
Q81685;poet
Q81685;novelist
Q81685;playwright
Q81685;screenwriter
Q81685;literary critic
Q310379;writer
Q310379;screenwriter
Q310379;novelist
Q310379;children's writer
Q6074970;writer
Q506120;historian
Q506120;university teacher
Q448;philosopher
Q448;novelist
Q448;essayist
Q448;Encyclopédistes
Q448;art critic
Q448;playwright
Q448;literary critic
Q448;correspondent
Q314771;graphic designer
Q314771;cartoonist
Q314771;writer
Q314771;illustrator
Q314771;artist
Q314771;painter
Q314771;children's writer
Q314771;screenwriter
Q1043;geologist
Q1043;professor
Q1043;botanist
Q1043;physician
Q1043;autobiographer
Q1043;naturalist
Q1043;mycologist
Q1043;pteridologist
Q1043;bryologist
Q1043;zoologist
Q1043;entomologist
Q235291;historian
Q235291;autobiographer
Q235291;writer
Q235291;biographer
Q193111;writer
Q193111;translator
Q193111;journalist
Q193111;novelist
Q193111;screenwriter
Q5682;novelist
Q5682;playwright
Q5682;poet
Q5682;lyricist
Q5682;soldier
Q732338;writer
Q310800;journalist
Q310800;poet
Q310800;writer
Q310800;screenwriter
Q310800;trade unionist
Q42511;writer
Q42511;historian
Q42511;journalist
Q173540;writer
Q173540;novelist
Q173540;screenwriter
Q173540;journalist
Q449085;writer
Q449085;autobiographer
Q449085;novelist
Q449085;playwright
Q449085;screenwriter
Q449085;children's writer
Q562163;writer
Q562163;science fiction writer
Q562163;children's writer
Q215665;writer
Q215665;screenwriter
Q81438;nurse
Q81438;poet
Q81438;novelist
Q81438;journalist
Q81438;essayist
Q81438;writer
Q621458;physician
Q621458;writer
Q621458;university teacher
Q621458;psychiatrist
Q365955;writer
Q365955;playwright
Q365955;painter
Q365955;screenwriter
Q28147;poet
Q28147;children's writer
Q28147;playwright
Q28147;translator
Q28147;writer
Q28147;journalist
Q28147;prosaist
Q28147;prose
Q184440;writer
Q184440;journalist
Q184440;poet
Q184440;novelist
Q184440;lawyer
Q184440;science fiction writer
Q184440;politician
Q449085;writer
Q449085;autobiographer
Q449085;novelist
Q449085;playwright
Q449085;screenwriter
Q449085;children's writer
Q312532;contemporary historian
Q312532;university teacher
Q312532;writer
Q312532;historian
Q352;politician
Q352;soldier
Q352;painter
Q352;political writer
Q352;revolutionary
Q352;statesperson
Q352;author
Q352;antisemite
Q185548;writer
Q185548;teacher
Q185548;novelist
Q185548;philosopher
Q185548;children's writer
Q185548;screenwriter
Q76529;journalist
Q76529;writer
Q2054;playwright
Q2054;poet
Q2054;philosopher
Q2054;aphorist
Q2054;statesperson
Q2054;politician
Q2054;writer
Q36724;sovereign
Q160441;theologian
Q160441;writer
Q160441;philosopher
Q160441;Catholic priest
Q160441;entomologist
Q199991;theologian
Q199991;writer
Q199991;philosopher
Q130221;sovereign
Q130221;writer
Q130221;poet
Q311456;historian
Q311456;writer
Q83041;mathematician
Q83041;philosopher
Q83041;physicist
Q83041;astronomer
Q1048;politician
Q1048;writer
Q1048;augur
Q1048;orator
Q1048;memoirist
Q1048;military officer
Q1048;ruler
Q1048;historian
Q1048;military personnel
Q1093574;priest
Q332750;politician
Q676555;Christian religious
Q676555;poet
Q676555;friar
Q676555;writer
Q676555;deacon
Q297776;physician
Q297776;botanist
Q297776;pharmacist
Q297776;pharmacologist
Q297776;writer
Q172916;politician
Q172916;writer
Q172916;cleric
Q172916;university teacher
Q172916;Catholic priest
Q188411;theologian
Q188411;writer
Q188411;philosopher
Q188411;religious
Q188411;hymnwriter
Q1707785;politician
Q1707785;trade unionist
Q6239779;journalist
Q6239779;politician
Q316876;poet
Q316876;writer
Q426862;astronomer
Q426862;astrologer
Q859;philosopher
Q859;epigrammatist
Q859;poet
Q131463;cleric
Q131463;Catholic priest
Q7326690;linguist
Q302;preacher
Q302;prophet
Q302;carpenter
Q302;rabbi
Q302;curandero
Q302;thaumaturge
Q302;religious leader
Q6691;poet
Q635;politician
Q785250;historian
Q785250;theologian
Q785250;writer
Q44265;monk
Q40662;hermit
Q40662;prophet
Q8581;Sultan of Egypt
Q5254;troubadour
Q5254;poet
Q5254;Catholic priest
Q5254;composer
Q165479;cleric
Q165479;Catholic priest
Q165479;farmer
Q310686;priest
Q8409;politician
Q8409;military leader
Q8747;mathematician
Q8747;writer
Q76721;monarch
Q868;metaphysician
Q868;biologist
Q868;cosmologist
Q868;logician
Q868;zoologist
Q868;literary critic
Q868;mathematician
Q868;ethicist
Q868;epistemologist
Q868;political philosopher
Q868;polymath
Q868;philosopher of language
Q868;writer
Q868;philosopher
Q868;astronomer
Q868;geographer
Q868;teacher
Q868;tutor
Q131691;politician
Q131691;diplomat
Q131691;military officer
Q7198;poet
Q7198;writer
Q7198;mythographer
Q211246;priest
Q203792;condottiero
Q2442652;lithographer
Q2442652;painter
Q2442652;illustrator
Q2442652;engraver
Q9458;merchant
Q9458;politician
Q9458;prophet
Q9458;rasul
