language_id;book_id
Q7850;Q197836
Q5146;Q154761
Q37041;Q8251
Q1321;Q208571
Q397;Q75561
Q1860;Q167996
Q7979;Q46751
Q150;Q128918
Q1860;Q32136
Q5146;Q154763
Q1860;Q116914
Q150;Q180736
Q7737;Q26193
Q7737;Q75840
Q7737;Q188538
Q150;Q168309
Q7737;Q83799
Q7976;Q59509
Q1860;Q46758
Q13955;Q129048
Q1860;Q116950
Q5146;Q154766
Q7850;Q8265
Q35228;Q180745
Q1860;Q208808
Q1860;Q79762
Q1860;Q168351
Q1860;Q138743
Q1860;Q83880
Q1412;Q33787
Q7979;Q46887
Q1860;Q46887
Q1860;Q116963
Q5146;Q154767
Q1860;Q189378
Q188;Q199774
Q9056;Q138746
Q1860;Q26505
Q5287;Q60151
Q1860;Q181231
Q5287;Q35690
Q1860;Q80771
Q182695;Q8269
Q5146;Q154769
Q150;Q129289
Q1860;Q117108
Q1860;Q189446
Q150;Q199940
Q5146;Q139879
Q188;Q36097
Q150;Q129450
Q7979;Q80817
Q1860;Q80817
Q9168;Q8279
Q1860;Q189509
Q7976;Q117431
Q1860;Q200306
Q5146;Q139894
Q1860;Q26541
Q1860;Q208911
Q1860;Q81007
Q9288;Q118694
Q8641;Q118694
Q1860;Q60161
Q7976;Q200920
Q1860;Q189811
Q5146;Q139957
Q7737;Q27321
Q1321;Q209632
Q13955;Q8369
Q1860;Q81316
Q1860;Q60672
Q809;Q201253
Q397;Q129493
Q150;Q190126
Q1860;Q27331
Q5146;Q140000
Q1860;Q8563
Q150;Q210113
Q1860;Q202009
Q9027;Q129515
Q1860;Q10202
Q150;Q129541
Q1860;Q11191
Q7979;Q129778
Q652;Q11336
Q1860;Q129929
