city_id;city_label;city_description;realCity_area;realCity_population
Q1672375;Bar Harbor;town on Mount Desert Island in Hancock County, Maine, United States.;63.11;4820
Q5806;Mecca;Saudi Arabian city and capital of the Makkah province;760000000;1675368
Q153676;Kislovodsk;city in Russia;72;129861
Q29303;Canterbury;cathedral city the City of Canterbury, Kent, England;;55240
Q49127307;Elasa;;;
Q219525;Anazarbus;human settlement;;
Q399342;Bougival;commune in Yvelines, France;2.76;8729
Q36947;Salvador;city in the state of Bahia, Brazil;693000000;2443107
Q131491;Brighton;town on the south coast of Great Britain;82.67;160000
Q79808;Constanța;city in Constanța County, Romania;124.890000;283872
Q2119652;Oneglia;;;
Q200441;Antioch on the Orontes;ancient city in Turkey;;
Q202628;Oldham;town in Greater Manchester, England;67.1;96555
Q192761;County Armagh;county of Northern Ireland;1254;174792
Q208201;London Borough of Bromley;London borough;150.15;324900
Q456;Lyon;commune in the metropolis of Lyon, France;47.87;500716
Q649;Moscow;capital city and the largest city of Russia; separate federal subject of Russia;2562;1174700
Q164092;Duchy of Saxony;duchy;;
Q188615;Abdera;ancient town in Greece;3148;1090
Q474453;Hauteville-la-Guichard;commune in Manche, France;11.98;456
Q41;Greece;republic in Southern Europe;131957;10815197
Q81997;Boulogne-sur-Mer;commune in Pas-de-Calais, France;8.42;42537
Q28587;Hamadan;capital city of Hamadan Province of Iran;;525794
Q1363688;Corinth;city-state in ancient Greece;;1939
Q6106;Portland;city in Oregon, USA;375.805526;583776
Q48335;Newfoundland;island portion of Newfoundland and Labrador, Canada;108860;479105
Q782155;Jarrow;town in north-east England, located on the River Tyne;113.44;27526
Q3118;Oryol;city in the center of European Russia;127.8;319651
Q1720;Mainz;capital of the German state of Rhineland-Palatinate, Germany;97.74;206991
Q87;Alexandria;second largest city in Egypt;2679;4028028
Q187654;Villandraut;commune in Gironde, France;12.58;994
Q202422;Salamis Island;island in the Aegean Sea;91.503;
Q1134428;Corofin;human settlement;;
Q288;Tours;commune in Indre-et-Loire, France;34.36;134803
Q13364;Ravenna;Italian comune;653.82;159039
Q16666;Nanjing;capital of Jiangsu province in Eastern China;6582;8187800
Q268214;Bordighera;Italian comune;10.65;10454
Q162049;Charlottenburg;locality of Berlin, Germany;10.6;124555
Q7332;Bergen-Belsen concentration camp;Nazi concentration camp;;
Q2554678;Broad Chalke;village in United Kingdom;;
Q107299;Kingdom of Northumbria;mediaeval kingdom of the Angles;;
Q4072887;Afshona;;;
Q2412935;The Mount;Georgian house in Shrewsbury, England;;
Q50157;Sulmona;Italian comune;58.33;24454
Q490;Milan;second-largest city in Italy;181.67;267618
Q812589;Bayonne;city in New Jersey, USA;28.72215;63024
Q178488;Kefalonia;Island of Greece;734.014;40000
Q1490;Tokyo;capital of Japan and one of 47 prefectures of Japan;2187.66;13784212
Q331397;Oak Park;town in Cook County, Illinois, United States; suburb of Chicago, Illinois;12.172451;51878
