city_id;label;description;area;population;id
Q668;India;federal republic in southern Asia;3287263;1263200000;Q668
Q20085723;Tashbaan;;;;Q20085723
Q90;Paris;capital city of France;105.4;2240621;Q90
Q392215;northern French coal mining region;mining region;;;Q392215
Q15299049;Hogwarts grounds;fictional area in the Harry Potter universe;;;Q15299049
Q84;London;capital of England and the United Kingdom;1572;8787892;Q84
Q23556;Atlanta;city in Dekalb County and Fulton County, Georgia, USA, county seat city in Fulton County and Georgia federated state capital city;347.996293;447841;Q23556
Q1672830;National Library of Ireland;;;;Q1672830
Q6671104;London in fiction;;;;Q6671104
Q84;London;capital of England and the United Kingdom;1572;8787892;Q84
Q2350741;Nelson's Pillar;former column and statue in Dublin, Ireland;;;Q2350741
Q84;London;capital of England and the United Kingdom;1572;8787892;Q84
Q668;India;federal republic in southern Asia;3287263;1263200000;Q668
Q23298;Kent;ceremonial county in England (use Q21694674 for administrative non-metropolitan county);3736;1731400;Q23298
Q7983245;Werel and Yeowe;fictional planets created by Ursula K. Le Guin, the setting of Four Ways to Forgiveness (1995);;;Q7983245
Q3623561;Westeros;A Song of Ice and Fire continent;;;Q3623561
Q163;Yorkshire;historic county of Northern England;11903;5234700;Q163
Q90;Paris;capital city of France;105.4;2240621;Q90
Q27044157;Privet Drive;;;;Q27044157
Q21;England;country in north-west Europe, part of the United Kingdom;130278.43;53012456;Q21
Q90;Paris;capital city of France;105.4;2240621;Q90
Q19967;Nautilus;fictional submarine;;;Q19967
Q1747689;ancient Rome;civilisation that began growing on the Italian Peninsula from 8th century BC;;49000000;Q1747689
Q84;London;capital of England and the United Kingdom;1572;8787892;Q84
Q21;England;country in north-west Europe, part of the United Kingdom;130278.43;53012456;Q21
Q471890;Room of Requirement;fictional magical room in Hogwarts;;;Q471890
Q90;Paris;capital city of France;105.4;2240621;Q90
Q2481438;Forbidden Forest;fictional forest in the Harry Potter universe;;;Q2481438
Q30;United States of America;federal republic in North America;9826675;323952889;Q30
Q1472498;Alexander Garden;urban public park in Moscow, Russia;10;;Q1472498
Q4318199;Bad apartment;;;;Q4318199
Q962445;Patriarch Ponds;reservoir;;;Q962445
Q4273334;Massolit;;;;Q4273334
