human_id;human_label;human_description;human_name;human_sex;human_DoB;human_DoD;is_character
Q230091;Herodias;princess of the Herodian Dynasty of Judaea;;female;-0100-01-01T00:00:00Z;+0100-01-01T00:00:00Z;nc
Q6239779;John Hooper;British politician;John Hooper;male;+1846-00-00T00:00:00Z;+1897-11-23T00:00:00Z;nc
Q166056;Cardinal Mazarin;Catholic cardinal;Jules Mazarin;male;+1602-07-14T00:00:00Z;+1661-03-09T00:00:00Z;nc
Q204236;John Fryer;British sailing master on the HMAV Bounty;;male;+1753-08-15T00:00:00Z;+1817-05-26T00:00:00Z;nc
Q1824066;Arturo Bandini;;;male;;;nc
Q315795;Bernal Díaz del Castillo;Spanish conquistador;Bernal Díaz del Castillo;male;+1492-01-01T00:00:00Z;+1584-00-00T00:00:00Z;nc
Q674683;Terpsion;;;male;;;nc
Q310303;Yazdegerd II;Persian king;;male;+0500-01-01T00:00:00Z;+0457-01-01T00:00:00Z;nc
Q15053140;Ray Hutchins;illustrator;;male;;;nc
Q1507860;George Marston;British artist who took part in two Antarctic expeditions;;male;+1882-03-19T00:00:00Z;+1940-11-22T00:00:00Z;nc
Q5264;Hippocrates;ancient Greek physician;Ἱπποκράτης;male;-0460-01-01T00:00:00Z;-0365-00-00T00:00:00Z;nc
Q155596;Philippe, Duke of Orléans, Regent of France;member of the royal family of France, Regent of the Kingdom from 1715 to 1723;Philippe d'Orléans;male;+1674-08-02T00:00:00Z;+1723-12-02T00:00:00Z;nc
Q719829;Jules Bonnot;French anarchist;Jules Bonnot;male;+1876-10-14T00:00:00Z;+1912-04-28T00:00:00Z;nc
Q6779045;Mary Bernard Laughlin;educator and Catholic leader from the USA;Mary Laughlin;female;+1876-08-12T00:00:00Z;+1948-10-06T00:00:00Z;nc
Q737533;Louis XIII of France;King of France and Navarra 1610-1643;Louis XIII;male;+1601-09-27T00:00:00Z;+1643-05-14T00:00:00Z;nc
Q785250;Petrus Comestor;French theologian;Pierre le Mangeur;male;+1100-01-01T00:00:00Z;+1179-10-22T00:00:00Z;nc
Q434579;Théodore Guérin;Catholic saint and nun from France;Sainte Théodore Guérin;female;+1798-10-02T00:00:00Z;+1856-05-14T00:00:00Z;nc
Q297050;Cuauhtémoc;Tlatoani of Tenochtitlan;;male;+1495-01-01T00:00:00Z;+1525-02-28T00:00:00Z;nc
Q9200;Paul;Early Christian apostle and missionary;Παῦλος;male;+0005-00-00T00:00:00Z;+0067-00-00T00:00:00Z;nc
Q3526691;Théophile Schuler;French painter;;male;+1821-06-18T00:00:00Z;+1878-01-26T00:00:00Z;nc
Q83041;Anaxagoras;ancient Greek philosopher;Ἀναξαγόρας;male;-0500-00-00T00:00:00Z;-0428-00-00T00:00:00Z;nc
Q913;Socrates;classical Greek Athenian philosopher;Σωκράτης;male;-0470-00-00T00:00:00Z;-0399-00-00T00:00:00Z;nc
Q41155;Heraclitus;pre-Socratic Greek philosopher;;male;-0535-00-00T00:00:00Z;-0470-00-00T00:00:00Z;nc
Q16560559;Julius Secundus;;;male;+0050-01-01T00:00:00Z;;nc
Q2361032;Thomas Ken;Bishop of Bath and Wells;;male;+1637-07-01T00:00:00Z;+1711-03-19T00:00:00Z;nc
Q6004781;;;;female;;+1440-00-00T00:00:00Z;nc
Q245407;Richard Bach;American spiritual writer;Richard David Bach;male;+1936-06-23T00:00:00Z;;nc
Q33080662;Enrique Gómez Polo;;;male;+1841-00-00T00:00:00Z;+1911-00-00T00:00:00Z;nc
Q29441065;Deval Devi;fourteenth century Vaghela Rajput princess;;female;;;nc
Q5202472;Célestine Guynemer de la Hailandière;French-born bishop in the United States;;male;+1798-05-03T00:00:00Z;+1882-05-01T00:00:00Z;nc
Q2535205;Enrico Mazzanti;Italian artist;;male;+1850-04-05T00:00:00Z;+1910-09-03T00:00:00Z;nc
Q352489;Aulus Plautius;Roman governor;;male;;;nc
Q16198124;Philip Dadd;British illustrator;Philip John Stephen Dadd;male;+1880-01-01T00:00:00Z;+1916-08-02T00:00:00Z;nc
Q5239704;David Sheehy;British politician;David Sheehy;male;+1844-00-00T00:00:00Z;+1932-12-17T00:00:00Z;nc
Q34943;Ptolemy;Greco-Egyptian writer and astronomer of Alexandria;Κλαύδιος Πτολεμαῖος;male;+0100-00-00T00:00:00Z;+0160-00-00T00:00:00Z;nc
Q8747;Euclid;Greek mathematician, inventor of axiomatic geometry;Εὐκλείδης;male;;;nc
Q1398;Virgil;Ancient Roman poet;Publius Vergilius Maro;male;-0070-10-15T00:00:00Z;-0019-09-21T00:00:00Z;nc
Q316876;Guido Cavalcanti;poet from Italy;Guido Cavalcanti;male;+1258-00-00T00:00:00Z;+1300-08-29T00:00:00Z;nc
