human_id;human_label;human_description;human_name;human_sex;human_DoB;human_DoD;is_character
Q20749193;Irma Le Fer de la Motte;Catholic leader and nun from France;Marie-Sophie-Julienne Le Fer de la Motte;female;+1816-00-00T00:00:00Z;+1856-01-31T00:00:00Z;nc
Q551481;Antoine Barnave;French politician;Antoine Barnave;male;+1761-10-22T00:00:00Z;+1793-11-29T00:00:00Z;nc
Q1595134;Marcus Aper;;;male;+0100-01-01T00:00:00Z;;nc
Q1416892;Thomas William Lyster;Irish librarian;;male;+1855-01-01T00:00:00Z;+1922-01-01T00:00:00Z;nc
Q5553293;Gertrude Clare Owens;administrator and Catholic leader from the USA;Margaret Genevieve Haughan;female;+1887-03-26T00:00:00Z;+1963-11-18T00:00:00Z;nc
Q772558;Carlo Chiostri;painter and illustrator;;male;+1863-05-05T00:00:00Z;+1939-07-09T00:00:00Z;nc
Q959748;Frans Hogenberg;German painter;Frans Hogenberg;male;+1535-01-01T00:00:00Z;+1590-01-01T00:00:00Z;nc
Q16912694;Cornelia van Rijn;;;female;+1654-01-01T00:00:00Z;+1684-01-01T00:00:00Z;nc
Q559541;Salvatore Giuliano;outlaw;;male;+1922-11-16T00:00:00Z;+1950-07-05T00:00:00Z;nc
Q15725991;Joseph Schindelman;;;male;;;nc
Q172480;Isaac of Armenia;Armenian saint;;male;+0338-01-01T00:00:00Z;+0439-07-10T00:00:00Z;nc
Q7200;Alexander Pushkin;Russian poet;Александр Сергеевич Пушкин;male;+1799-05-26T00:00:00Z;+1837-01-29T00:00:00Z;nc
Q61078;Walter Benjamin;German literary critic, philosopher and social critic (1892-1940);;male;+1892-07-15T00:00:00Z;+1940-09-26T00:00:00Z;nc
Q37693;Paul Gauguin;French artist;Paul Gauguin;male;+1848-06-07T00:00:00Z;+1903-05-09T00:00:00Z;nc
Q670332;Comte de Troisville;French soldier;Jean-Armand du Peyrer;male;+1598-01-01T00:00:00Z;+1672-05-08T00:00:00Z;nc
Q231997;Sadako Sasaki;Japanese origami artist;佐々木禎子;female;+1943-01-07T00:00:00Z;+1955-10-25T00:00:00Z;nc
Q719418;Vasily Rozanov;Russian philosopher;;male;+1856-04-20T00:00:00Z;+1919-02-05T00:00:00Z;nc
Q151209;Anne of Austria;Queen, consort of Louis XIII, King of France;Anne d'Autriche;female;+1601-09-22T00:00:00Z;+1666-01-20T00:00:00Z;nc
Q7732;Louis XVI of France;King of France and Navarre;Louis XVI;male;+1754-08-23T00:00:00Z;+1793-01-21T00:00:00Z;nc
Q186652;Gilbert du Motier, Marquis de Lafayette;French general and politician;Gilbert du Motier;male;+1757-09-06T00:00:00Z;+1834-05-20T00:00:00Z;nc
Q1059572;Khaled Al Khamissi;Egyptian novelist and writer;خالد الخميسي;male;+1962-09-27T00:00:00Z;;nc
Q199991;Joachim of Fiore;Italian abbot;;male;+1135-00-00T00:00:00Z;+1202-03-30T00:00:00Z;nc
Q4534473;;;;male;;;nc
Q4293869;;;;male;+1829-04-08T00:00:00Z;+1907-06-04T00:00:00Z;nc
Q134309;Charles IX of France;King of France;Charles IX;male;+1550-06-27T00:00:00Z;+1574-05-30T00:00:00Z;nc
Q1093574;Ruggieri degli Ubaldini;Italian archbishop;;male;;+1295-09-15T00:00:00Z;nc
Q19844997;Sahakanuysh;Queen of Armenia, wife of Ashot the Iron;;female;;;nc
Q2223396;Georges Lévis;Comic artist;Georges Lévis;male;+1924-08-07T00:00:00Z;+1988-03-31T00:00:00Z;nc
Q166876;Isidore of Seville;bishop, confessor and doctor of the Catholic Church;Isidorus Hispalensis;male;+0560-00-00T00:00:00Z;+0636-04-04T00:00:00Z;nc
Q43939;Anselm of Canterbury;Benedictine monk, philosopher, and prelate;Anselmus Cantuariensis;male;+1033-00-00T00:00:00Z;+1109-04-21T00:00:00Z;nc
Q57652;Helle Thorning-Schmidt;Danish politician, former Danish Prime Minister;Helle Thorning-Schmidt;female;+1966-12-14T00:00:00Z;;nc
Q17348732;Karel Štapfer;Czech illustrator and scenographer;;male;+1863-05-14T00:00:00Z;+1930-11-30T00:00:00Z;nc
Q1409;Caligula;3rd Emperor of Ancient Rome, a member of the Julio-Claudian dynasty;Gaius Iulius Caesar Augustus Germanicus;male;+0012-08-31T00:00:00Z;+0041-01-24T00:00:00Z;nc
Q208359;John Wallis;English mathematician;John Wallis;male;+1616-11-23T00:00:00Z;+1703-10-28T00:00:00Z;nc
Q172353;Pyrrhus;Epirot Illyrian military leader;Πύρρος;male;-0318-01-01T00:00:00Z;-0272-01-01T00:00:00Z;nc
Q258369;Peter Damian;reformist monk;;male;+1007-01-01T00:00:00Z;+1072-02-22T00:00:00Z;nc
Q16303667;Pierre Laurent;French school teacher;;male;+1919-01-01T00:00:00Z;+2012-02-01T00:00:00Z;nc
Q43669;Thomas the Apostle;Apostle of Jesus Christ;;male;;+0072-07-03T00:00:00Z;nc
Q18733964;Peter Stahl;Stahl, Peter (d. c.1675), chemist and physician;;male;;;nc
Q469118;Gaius Calpurnius Piso;politician;;male;;+0065-04-19T00:00:00Z;nc
Q4297179;Michael of Perm;ruler of Perm;Ермолай Микаил;male;;+1481-01-01T00:00:00Z;nc
Q43706;John Chrysostom;important Early Church Father;;male;+0349-00-00T00:00:00Z;+0407-09-14T00:00:00Z;nc
Q267733;Thaïs;Greek hetaera;;female;-0400-01-01T00:00:00Z;;nc
Q3090807;Almanzo Wilder;Member of the Wilder family;;male;+1857-02-13T00:00:00Z;+1949-10-23T00:00:00Z;nc
Q33866;Theodore Roosevelt;American politician, 26th President of the United States;Theodore Roosevelt;male;+1858-10-27T00:00:00Z;+1919-01-06T00:00:00Z;nc
Q134646;Boniface VIII;193rd Pope of the Catholic Church;Benedetto Caetani;male;+1235-01-01T00:00:00Z;+1303-10-11T00:00:00Z;nc
Q2083692;Danutė of Lithuania;Lithuanian princess, daughter of Kęstutis, Grand Duke of Lithuania, and wife of Janusz I of Warsaw;;female;+1358-01-01T00:00:00Z;+1424-00-00T00:00:00Z;nc
Q102851;Boethius;philosopher of the early 6th century;Anicius Manlius Torquatus Severinus Boethius;male;+0480-01-01T00:00:00Z;+0525-00-00T00:00:00Z;nc
Q7489;Emperor Gaozong of Song;emperor of Song Dynasty China;;male;+1107-06-12T00:00:00Z;+1187-11-09T00:00:00Z;nc
Q353879;Jean François Paul de Gondi;Catholic cardinal;Jean-François Paul de Gondi;male;+1613-09-29T00:00:00Z;+1679-08-24T00:00:00Z;nc
Q849;François Villon;French poet and criminal;François Villon;male;+1431-04-01T00:00:00Z;+1463-00-00T00:00:00Z;nc
Q15912340;Nathaniel Orr;illustrator;;male;+1856-00-00T00:00:00Z;;nc
Q1370965;Peter Heywood;British naval officer;;male;+1772-06-06T00:00:00Z;+1831-02-10T00:00:00Z;nc
Q2254800;Cunizza da Romano;Italian noble;;female;+1198-01-01T00:00:00Z;+1279-01-01T00:00:00Z;nc
Q122290;Jean-Paul Marat;politician and journalist during the French Revolution;Jean-Paul Marat;male;+1743-05-24T00:00:00Z;+1793-07-13T00:00:00Z;nc
Q156521;Andrea Doria;Italian admiral;;male;+1466-11-30T00:00:00Z;+1560-11-25T00:00:00Z;nc
Q2054;Seneca;Roman Stoic philosopher, statesman, and dramatist;Lucius Annaeus Seneca;male;-0004-00-00T00:00:00Z;+0065-04-12T00:00:00Z;nc
Q1197656;Teimei;Japanese empress;貞明皇后;female;+1884-06-25T00:00:00Z;+1951-05-17T00:00:00Z;nc
Q2161;Tacitus;Roman senator and historian;Publius (Gaius) Cornelius Tacitus;male;+0054-00-00T00:00:00Z;+0120-01-01T00:00:00Z;nc
Q174210;Julio Cortázar;Argentinian writer;Julio Cortázar;male;+1914-08-26T00:00:00Z;+1984-02-12T00:00:00Z;nc
Q43393;Robert Boyle;English natural philosopher, chemist, physicist, and inventor;Robert Boyle;male;+1627-01-25T00:00:00Z;+1691-12-31T00:00:00Z;nc
Q15406986;Guydo;French painter, affichiste, illustrator and draughtsperson;Joseph Robert Guillaume Le Barrois d'Orgeval;male;+1868-08-22T00:00:00Z;+1930-00-00T00:00:00Z;nc
Q286337;Al-Ashraf Qansuh Al-Ghuri;Ruler of Egypt;;male;+1441-01-01T00:00:00Z;+1516-09-03T00:00:00Z;nc
Q1133523;Jephthah;biblical character;;male;;;nc
Q5544435;George Seton, 7th Lord Seton;Lord of the Parliament of Scotland;;male;+1530-00-00T00:00:00Z;+1586-00-00T00:00:00Z;nc
Q532354;Margaret Erskine;Mistress of Scottish King;;female;+1513-00-00T00:00:00Z;+1572-05-05T00:00:00Z;nc
Q555304;Georges Cadoudal;Marshal of France;Georges Cadoudal;male;+1771-01-01T00:00:00Z;+1804-06-25T00:00:00Z;nc
Q868;Aristotle;Classical Greek philosopher, student of Plato and founder of Western philosophy;Ἀριστοτέλης;male;-0383-00-00T00:00:00Z;-0321-00-00T00:00:00Z;nc
Q426862;Guido Bonatti;famed Italian astrologer/astronomer;;male;+1210-01-01T00:00:00Z;+1296-01-01T00:00:00Z;nc
Q351026;Saint Cyril the Philosopher;Christian missionary to the Slavs (9th c.);;male;+0827-01-01T00:00:00Z;+0869-02-14T00:00:00Z;nc
Q273942;Pia Gjellerup;Danish politician;Pia Gjellerup;female;+1959-08-22T00:00:00Z;;nc
Q118653;August Engelhardt;German nutritionist;;male;+1877-11-27T00:00:00Z;+1919-05-06T00:00:00Z;nc
Q188411;Bernard of Clairvaux;French abbot, theologian;Bernard de Clairvaux;male;+1090-01-01T00:00:00Z;+1153-08-20T00:00:00Z;nc
Q6527;Jean-Jacques Rousseau;Genevan philosopher, writer, and composer;;male;+1712-06-28T00:00:00Z;+1778-07-02T00:00:00Z;nc
Q43963;Jack the Ripper;Unidentified serial killer;Jack the Ripper;male;+1850-00-00T00:00:00Z;+1900-00-00T00:00:00Z;nc
Q20750935;Athanasius Fogarty;Catholic nun and hospital administrator;Margaret Fogarty;female;+1834-05-15T00:00:00Z;+1900-04-11T00:00:00Z;nc
Q18508125;Douglas Duer;American artist and illustrator;;male;+1887-10-04T00:00:00Z;+1964-01-01T00:00:00Z;nc
Q244912;Hezekiah;King of Judah;;male;-0800-01-01T00:00:00Z;-0697-01-01T00:00:00Z;nc
Q315608;Vojtěch Preissig;Czech graphic, illustrator, painter and typographer;;male;+1873-07-31T00:00:00Z;+1944-06-11T00:00:00Z;nc
Q297040;Apollonius of Tyana;Ancient Greek philosopher;Ἀπολλώνιος ὁ Τυανεύς;male;+0015-00-00T00:00:00Z;+0100-00-00T00:00:00Z;nc
Q470122;Shin Suk-ju;Korean philosopher;;male;+1417-01-01T00:00:00Z;+1475-06-21T00:00:00Z;nc
Q12026771;Josef Wenig;Czech painter, scenographer and artist;;male;+1885-02-12T00:00:00Z;+1939-09-08T00:00:00Z;nc
Q130221;Frederick II, Holy Roman Emperor;1194 – 1250, Holy Roman Emperor of the Middle Ages;Friedrich II von Staufen;male;+1194-12-26T00:00:00Z;+1250-12-13T00:00:00Z;nc
Q466048;Francesca da Rimini;Italian noble;;female;+1259-01-01T00:00:00Z;+1285-01-01T00:00:00Z;nc
Q951503;Ashot II of Armenia;Armenian king;Աշոտ Բ Երկաթ;male;;+0928-01-01T00:00:00Z;nc
Q446504;Eleonora Fonseca Pimentel;Italian poet;;female;+1752-01-13T00:00:00Z;+1799-08-20T00:00:00Z;nc
Q1841706;Theodore Rshtuni;Soldier and nobleman;;male;+0590-00-00T00:00:00Z;+0656-01-01T00:00:00Z;nc
Q81018;Judas Iscariot;one of the twelve original apostles of Jesus Christ, known for betrayal of Jesus;;male;;+0100-01-01T00:00:00Z;nc
Q6562057;Mushegh IV Mamikonian;;;male;;;nc
Q335165;Osceola;Billy Powell, leader of the Seminole in Florida;;male;+1804-01-01T00:00:00Z;+1838-01-20T00:00:00Z;nc
Q24259104;Borja Montoro;character designer and animator;;male;+1966-07-00T00:00:00Z;;nc
Q485023;Danjong of Joseon;6th King of Joseon Dynasty in Korean history;;male;+1441-07-23T00:00:00Z;+1457-12-24T00:00:00Z;nc
Q512266;Thomas Pesquet;French astronaut;Thomas Pesquet;male;+1978-02-27T00:00:00Z;;nc
Q167778;Zawisza Czarny;Polish diplomat and Knight;;male;+1379-00-00T00:00:00Z;+1428-01-01T00:00:00Z;nc
Q15463333;John Mordaunt, 1st Viscount Mordaunt;English politician;;male;+1626-06-18T00:00:00Z;+1675-06-05T00:00:00Z;nc
Q55665185;John H. Colen;American scientific illustrator;;male;+1853-00-00T00:00:00Z;+1983-00-00T00:00:00Z;nc
Q4776434;Antonio Baratti;Italian engraver;;male;+1724-01-07T00:00:00Z;+1787-07-28T00:00:00Z;nc
Q317188;Theo van Gogh;Dutch art dealer, brother of Vincent (1857-1891);Theodorus van Gogh;male;+1857-05-01T00:00:00Z;+1891-01-25T00:00:00Z;nc
Q991;Fyodor Dostoyevsky;Russian author;Фёдор Михайлович Достоевский;male;+1821-10-30T00:00:00Z;+1881-02-09T00:00:00Z;nc
Q451174;Jeanne Agnès Berthelot de Pléneuf, marquise de Prie;French noble;Jeanne Agnès Berthelot de Pléneuf;female;+1698-08-01T00:00:00Z;+1727-10-07T00:00:00Z;nc
Q9458;Muhammad;the Prophet of Islam;محمد بن عبدالله بن عبد المطلب بن هاشم بن عبد مناف بن قصي;male;+0570-04-26T00:00:00Z;+0632-06-08T00:00:00Z;nc
Q7617726;William Douglas, 6th Earl of Morton;Scottish Earl;;male;+1540-01-01T00:00:00Z;+1606-09-27T00:00:00Z;nc
Q18534452;Vladimír Rocman;Czech graphic, illustrator, painter and artist;;male;+1923-09-08T00:00:00Z;+2016-04-28T00:00:00Z;nc
Q41370;David;king of Israel and Judah;דָּוִד;male;-1040-01-01T00:00:00Z;-0970-01-01T00:00:00Z;nc
Q378053;Rob Roy MacGregor;Scottish outlaw;Robert Roy MacGregor;male;+1671-03-07T00:00:00Z;+1734-12-28T00:00:00Z;nc
Q131463;Clement V;pope;Clément V;male;+1264-00-00T00:00:00Z;+1314-04-20T00:00:00Z;nc
Q41980;Democritus;Ancient Greek philosopher, pupil of Leucippus, founder of the atomic theory;Δημόκριτος;male;-0460-01-01T00:00:00Z;-0360-01-01T00:00:00Z;nc
Q76721;Godfrey of Bouillon;Medieval Frankish knight;Godefroi de Bouillon;male;+1060-01-01T00:00:00Z;+1100-07-18T00:00:00Z;nc
Q453382;John Adams;British seaman and mutineer, last survivor of the Bounty mutineers;;male;+1767-12-04T00:00:00Z;+1829-03-05T00:00:00Z;nc
Q43746;Bonaventure;franciscan, bishop, cardinal, Doctor of the Church, catholic saint;Giovanni Fidanza;male;+1221-00-00T00:00:00Z;+1274-07-15T00:00:00Z;nc
Q706244;Empress Zhao Feiyan;Empress of Han Dynasty China;;female;-0032-01-01T00:00:00Z;-0001-00-00T00:00:00Z;nc
Q457881;John Tenniel;British illustrator, graphic humourist and political cartoonist;;male;+1820-02-28T00:00:00Z;+1914-02-25T00:00:00Z;nc
Q15995718;Albert Hahl;German colonial governor;;male;+1868-09-10T00:00:00Z;+1945-12-25T00:00:00Z;nc
Q334308;Sejo of Joseon;7th King of Joseon Dynasty in Korean history;;male;+1417-09-29T00:00:00Z;+1468-09-08T00:00:00Z;nc
Q223440;Lucius Junius Brutus;Founder of the Roman Republic;L. Iunius M.f. Brutus;male;-0600-00-00T00:00:00Z;-0509-00-00T00:00:00Z;nc
Q7742;Louis XIV of France;King of France and Navarra, from 1643 to 1715;Louis XIV;male;+1638-09-05T00:00:00Z;+1715-09-01T00:00:00Z;nc
Q1374807;John Leech;English caricaturist and illustrator;;male;+1817-08-29T00:00:00Z;+1864-10-29T00:00:00Z;nc
Q359237;Charles Martel of Anjou;King of Hungary;;male;+1271-09-15T00:00:00Z;+1295-08-12T00:00:00Z;nc
Q60059;Albertus Magnus;Dominican friar;Albertus Magnus;male;+1206-00-00T00:00:00Z;+1280-11-15T00:00:00Z;nc
Q451516;Gaius Scribonius Curio;politician (0090-0049);;male;-0090-01-01T00:00:00Z;-0049-01-01T00:00:00Z;nc
Q836741;Wuzhu;Jurchen prince and general;;male;;+1148-11-19T00:00:00Z;nc
Q3619926;Antonio Moresco;Italian writer;;male;+1947-10-30T00:00:00Z;;nc
Q4791018;Aristodemus of Cydathenaeum;Ancient Athenian philosopher;;male;;;nc
Q104804;Mesrop Mashtots;medieval Armenian theologian and linguist;Մեսրոպ Մաշտոց;male;+0361-01-01T00:00:00Z;+0440-02-17T00:00:00Z;nc
Q8058;Louis XI of France;king;Louis XI;male;+1423-07-03T00:00:00Z;+1483-08-30T00:00:00Z;nc
Q332020;César Gaviria;President of Colombia;;male;+1947-03-31T00:00:00Z;;nc
Q363636;Cardinal de Rohan;Catholic cardinal;Cardinal de Rohan;male;+1734-09-25T00:00:00Z;+1803-02-16T00:00:00Z;nc
Q360079;Eino Leino;Finnish poet and journalist;Armas Einar Leopold Lönnbohm;male;+1878-07-06T00:00:00Z;+1926-01-10T00:00:00Z;nc
Q192950;Herod Antipas;Tetrarch of Galilee and Perea;;male;-0020-01-01T00:00:00Z;+0039-00-00T00:00:00Z;nc
Q1113333;Regina Kehn;German illustrator;;female;+1962-01-01T00:00:00Z;;nc
Q966547;Léon Benett;French painter;Léon Benett;male;+1839-03-02T00:00:00Z;+1916-12-07T00:00:00Z;nc
Q463440;Hendrickje Stoffels;partner of Rembrandt van Rijn;;female;+1626-01-01T00:00:00Z;+1663-07-21T00:00:00Z;nc
Q8018;Augustine of Hippo;early Christian theologian and philosopher;Aurelius Augustinus;male;+0354-11-13T00:00:00Z;+0430-08-28T00:00:00Z;nc
Q24259053;Mac George;artist working at Disney;;male;;;nc
Q234533;Cornelia Africana;Roman patrician woman;Cornelia;female;-0189-01-01T00:00:00Z;-0110-01-01T00:00:00Z;nc
Q6779230;Mary Cleophas Foley;educator and Catholic leader from the USA;Margaret Teresa Foley;female;+1845-02-18T00:00:00Z;+1928-01-01T00:00:00Z;nc
Q187447;Pablo Escobar Gaviria;Colombian drug lord;Pablo Escobar;male;+1949-12-01T00:00:00Z;+1993-12-02T00:00:00Z;nc
Q486298;Han Myeonghoe;Korean politician;;male;+1415-11-26T00:00:00Z;+1487-11-28T00:00:00Z;nc
Q544680;John Thurloe;English barrister;;male;+1616-01-01T00:00:00Z;+1668-02-21T00:00:00Z;nc
Q312682;Euclid of Megara;Greek philosopher;Ευκλείδης;male;-0436-12-27T00:00:00Z;-0365-01-01T00:00:00Z;nc
Q24259199;Bill Schwab;character designer and animator;;male;;;nc
Q313817;George Villiers, 1st Duke of Buckingham;politician from England;;male;+1592-08-28T00:00:00Z;+1628-08-23T00:00:00Z;nc
Q29042917;Pavel Körber;Czech painter, illustrator and publisher;;male;+1862-09-15T00:00:00Z;+1925-10-22T00:00:00Z;nc
Q47180;Petronius;Roman courtier, supposed author of the Satyricon;Petronius Arbiter;male;+0027-00-00T00:00:00Z;+0066-01-01T00:00:00Z;nc
Q48305;Euripides;ancient Athenian playwright;Εὐριπίδης;male;-0480-00-00T00:00:00Z;-0406-00-00T00:00:00Z;nc
Q21495507;Émile Duhousset;French explorer, artist and geographer (1823-1900);Émile Louis Duhousset;male;+1823-04-18T00:00:00Z;+1900-00-00T00:00:00Z;nc
Q310267;Shapur III;Shah of Persia;;male;+0400-01-01T00:00:00Z;+0388-01-01T00:00:00Z;nc
Q335173;Edward Hyde, 1st Earl of Clarendon;English politician;;male;+1609-02-18T00:00:00Z;+1674-12-09T00:00:00Z;nc
Q859;Plato;Classical Greek philosopher;Πλάτων;male;-0427-00-00T00:00:00Z;-0347-00-00T00:00:00Z;nc
Q211619;Dale Baer;American animator;;male;+1950-00-00T00:00:00Z;;nc
Q83672;Shah Jahan;5th Mughal Emperor;شاه ‌جهان‎;male;+1592-01-05T00:00:00Z;+1666-01-22T00:00:00Z;nc
Q6101;Marco Polo;Venetian explorer and merchant noted for travel to central and eastern Asia;Marco Polo;male;+1254-09-15T00:00:00Z;+1324-01-08T00:00:00Z;nc
Q1419;Vespasian;Emperor of Ancient Rome, founder of the Flavian dynasty;Titus Flavius Vespasianus;male;+0009-11-17T00:00:00Z;+0079-06-23T00:00:00Z;nc
Q243203;Publius Papinius Statius;Roman poet of the 1st century AD (Silver Age of Latin literature);;male;+0040-01-01T00:00:00Z;+0096-01-01T00:00:00Z;nc
Q1394857;Luca Parmitano;Italian astronaut;;male;+1976-09-27T00:00:00Z;;nc
Q76508;Emmanuel Philibert, Duke of Savoy;Duke of Savoy from 1553 to 1580;;male;+1528-07-08T00:00:00Z;+1580-08-30T00:00:00Z;nc
Q1541;Cicero;Roman philosopher and statesman;Marcus Tullius Cicero;male;-0106-01-03T00:00:00Z;-0043-12-07T00:00:00Z;nc
Q366270;Guido Guinizelli;Italian poet;;male;+1230-01-01T00:00:00Z;+1276-01-01T00:00:00Z;nc
Q2318426;Alexandra of Lithuania;Youngest daughter of Algirdas, Grand Duke of Lithuania, and his second wife, Uliana of Tver;;female;+1360-01-01T00:00:00Z;+1434-04-20T00:00:00Z;nc
Q297285;Ali Pasha;Ottoman ruler;;male;+1750-00-00T00:00:00Z;+1822-01-24T00:00:00Z;nc
Q953718;Henry Bennet, 1st Earl of Arlington;English diplomat;;male;+1618-01-01T00:00:00Z;+1685-07-28T00:00:00Z;nc
Q5170;Blondel de Nesle;French trouvère;Blondel de Nesle;male;+1150-00-00T00:00:00Z;+1202-00-00T00:00:00Z;nc
Q3860377;The Nun of Monza;Italian nun;;female;+1575-12-04T00:00:00Z;+1650-01-17T00:00:00Z;nc
Q289149;Étienne François, duc de Choiseul;French general, diplomat and statesman;Étienne François de Choiseul;male;+1719-06-28T00:00:00Z;+1785-05-08T00:00:00Z;nc
Q33923;Peter;apostle and first pope;بطرس;male;;+0067-01-01T00:00:00Z;nc
Q2633351;Vasak of Syunik;King of Syunik, Armenia,;;male;+0387-01-01T00:00:00Z;+0452-01-01T00:00:00Z;nc
Q131691;Arthur Wellesley, 1st Duke of Wellington;British soldier and statesman;Arthur Wellesley, 1. Duke of Wellington;male;+1769-05-01T00:00:00Z;+1852-09-14T00:00:00Z;nc
Q281146;Yeznik of Kolb;Fifth century Christian Writer;;male;+0500-01-01T00:00:00Z;+0450-00-00T00:00:00Z;nc
Q152513;Henry Wadsworth Longfellow;American poet;Henry Wadsworth Longfellow;male;+1807-02-27T00:00:00Z;+1882-03-24T00:00:00Z;nc
Q3310969;Michel Thérais;;;male;;;nc
Q81506;Charles I of England;monarch of the three kingdoms of England, Scotland, and Ireland;;male;+1600-11-19T00:00:00Z;+1649-01-30T00:00:00Z;nc
Q2521377;Ottaviano degli Ubaldini;Italian cardinal;;male;+1214-01-01T00:00:00Z;+1273-01-01T00:00:00Z;nc
Q4071856;;;;male;;;nc
Q36724;Attila;King of the Hunnic Empire;;male;+0406-00-00T00:00:00Z;+0453-03-00T00:00:00Z;nc
Q879350;Bjarne Corydon;Danish politician;Bjarne Corydon;male;+1973-03-01T00:00:00Z;;nc
Q8778;Galen;Roman physician, surgeon and philosopher;Γαληνός;male;+0129-00-00T00:00:00Z;+0216-00-00T00:00:00Z;nc
Q334818;Kazi Nazrul Islam;National poet of Bangladesh;কাজী নজরুল ইসলাম;male;+1899-05-24T00:00:00Z;+1976-08-29T00:00:00Z;nc
Q131412;Mary, Queen of Scots;Scottish monarch and queen consort of France;Mary Stewart;female;+1542-12-08T00:00:00Z;+1587-02-08T00:00:00Z;nc
Q1348718;Jean-Claude Romand;French murderer;Jean-Claude Romand;male;+1954-02-11T00:00:00Z;;nc
Q2438324;Julie d'Aubigny;French opera singer;Julie d'Aubigny;female;+1670-00-00T00:00:00Z;+1707-01-01T00:00:00Z;nc
Q17523641;José Maria Baptista Coelho;;;male;+1812-01-01T00:00:00Z;+1891-01-01T00:00:00Z;nc
Q329;Nicolas Sarkozy;23rd President of the French Republic;Nicolas Sarkozy;male;+1955-01-28T00:00:00Z;;nc
Q9215;Sigmund Freud;Austrian neurologist known as the founding father of psychoanalysis;Sigmund Freud;male;+1856-05-06T00:00:00Z;+1939-09-23T00:00:00Z;nc
Q170842;Sergei Korolev;Soviet rocket engineer;Серге́й Па́влович Королёв;male;+1906-12-30T00:00:00Z;+1966-01-14T00:00:00Z;nc
Q13769198;Alexandre Moisy;;;male;+1763-01-01T00:00:00Z;+1827-01-01T00:00:00Z;nc
Q20749268;John Corbe;Catholic priest, artist and botanist born in France;;male;+1805-11-04T00:00:00Z;+1872-06-03T00:00:00Z;nc
Q230314;La Malinche;Nahua woman who was the interpreter, advisor, and intermediary to Hernan Cortez;;female;+1496-00-00T00:00:00Z;+1529-00-00T00:00:00Z;nc
Q2669574;Barry Gifford;Novelist, poet, screenwriter, biographer, editor;;male;+1946-10-18T00:00:00Z;;nc
Q43718;Nikolai Gogol;Russian writer;;male;+1809-03-20T00:00:00Z;+1852-02-21T00:00:00Z;nc
Q26702;Cardinal Richelieu;French clergyman, noble and statesman;Armand Jean du Plessis de Richelieu;male;+1585-09-09T00:00:00Z;+1642-12-04T00:00:00Z;nc
Q23689886;François-Barthélémy-Augustin Desmoulins;;;male;+1788-00-00T00:00:00Z;+1856-01-01T00:00:00Z;nc
Q1407;Tiberius;2nd Emperor of Ancient Rome, member of the Julio-Claudian dynasty;Tiberius Iulius Caesar;male;-0042-11-16T00:00:00Z;+0037-03-16T00:00:00Z;nc
Q42305;Richard I of England;English king;Richard the Lionheart;male;+1157-09-08T00:00:00Z;+1199-04-06T00:00:00Z;nc
Q170373;Christopher Wren;English architect;Christopher Wren;male;+1632-10-20T00:00:00Z;+1723-03-08T00:00:00Z;nc
Q9353;John Locke;English philosopher and physician;John Locke;male;+1632-08-29T00:00:00Z;+1704-10-28T00:00:00Z;nc
Q235835;Margaret of France, Duchess of Berry;daughter of King Francis I of France;;female;+1523-06-05T00:00:00Z;+1574-09-15T00:00:00Z;nc
Q23680546;Claude Allin Shepperson;British painter, printmaker, illustrator;Claude Allin Shepperson;male;+1867-10-25T00:00:00Z;+1921-12-30T00:00:00Z;nc
Q40662;John the Baptist;major religious figure;יוחנן המטביל;male;;+0030-00-00T00:00:00Z;nc
Q57384;Wernher von Braun;German, later an American, aerospace engineer and space architect;Wernher von Braun;male;+1912-03-23T00:00:00Z;+1977-06-16T00:00:00Z;nc
Q331485;Jean-Marie Messier;French businessman;Jean-Marie Messier;male;+1956-12-13T00:00:00Z;;nc
Q181875;Robert Peel;British Conservative statesman;Robert Peel;male;+1788-02-05T00:00:00Z;+1850-07-02T00:00:00Z;nc
Q6139425;Thomas Hayward;British Royal Navy officer;;male;+1767-01-01T00:00:00Z;+1798-01-01T00:00:00Z;nc
Q706003;Ugolino della Gherardesca;Italian politician and soldier;;male;+1220-01-01T00:00:00Z;+1289-01-01T00:00:00Z;nc
Q828583;Bertrand-François Mahé de La Bourdonnais;French admiral and colonial governor;Bertrand-François Mahé de La Bourdonnais;male;+1699-02-11T00:00:00Z;+1753-11-10T00:00:00Z;nc
Q3687804;Conte Attilio;;;male;;;nc
Q3770052;Giuseppe Bandi;Italian writer and journalist;;male;+1834-07-15T00:00:00Z;+1894-07-01T00:00:00Z;nc
Q4493856;;;;male;;;nc
Q691873;Anthony Wood;English antiquarian;;male;+1632-12-17T00:00:00Z;+1695-11-28T00:00:00Z;nc
Q118081;Pope Celestine V;192nd Pope of the Catholic Church;Celestinus PP. V;male;+1215-00-00T00:00:00Z;+1296-05-19T00:00:00Z;nc
Q310686;Dionysius the Areopagite;bishop and saint;;male;+0100-01-01T00:00:00Z;+0100-00-00T00:00:00Z;nc
Q1048;Julius Caesar;Roman politician and general;Gaius Iulius Caesar;male;-0100-00-00T00:00:00Z;-0044-03-01T00:00:00Z;nc
Q23771657;Shiyoon Kim;concept artist working for Disney;;male;;;nc
